user,timestamp,tweet,lat,lon
@Daurmith,Tue Apr 15 05:17:54 +0000 2014,@elsadecea ir vestida tambin...,,
@whomaktub,Tue Apr 15 05:18:30 +0000 2014,"@biebstrngr fback? cute acc, bby, ah.",,
@whomaktub,Tue Apr 15 05:19:55 +0000 2014,"@iCherishMahone fback? cute acc, bby, ah.",,
@TaniaGa58752568,Tue Apr 15 05:21:27 +0000 2014,Puf... buenos dias,37.9964742,-1.1237252
@whomaktub,Tue Apr 15 05:21:46 +0000 2014,"@HastingsHusband fback? cute acc, bby, ah.",,
@whomaktub,Tue Apr 15 05:23:02 +0000 2014,"@ddlovato1107 bue, por que ahq",,
@whomaktub,Tue Apr 15 05:24:01 +0000 2014,"a mi no me van a cagar.. yo voy a ver el eclipse sean las cinco de la maana, yo lo voy a ver, loco. que le pasa a la humanidad, eaeaea bue",,
@alfonsogarvil,Tue Apr 15 05:24:59 +0000 2014,@almaair @mtovarnfl @AlbertBreer Al parecer su sentido del deber era muy fuerte y ha estado 3 campaas en Afganistan. Un autentico soldado.,37.93960216,-1.15571798
@SANMARLEO,Tue Apr 15 05:26:20 +0000 2014,http://t.co/538wIzs3Nh,38.02490205,-1.14330685
@whomaktub,Tue Apr 15 05:26:34 +0000 2014,"@ddlovato1107 si vo.. no sabe cada rato los giles publican 'ay yo lo voy a ver', 'quiero ver la luna roja' y la mierda esa que no se que ~",,
@inmita10296,Tue Apr 15 05:27:03 +0000 2014,Leche con special K y a dormir,38.055034,-1.2055156999999999
@Daurmith,Tue Apr 15 05:27:27 +0000 2014,@El__Yayo Nonono,,
@aboudidido,Tue Apr 15 05:27:42 +0000 2014,@Betaqadaawia                          ,,
@DeborahBloston,Tue Apr 15 05:28:31 +0000 2014,Estos piececitos van a por ti yaaaa!  @MariaIsabelMese  http://t.co/PID1QuAUa2,38.05393213,-1.21291261
@Daurmith,Tue Apr 15 05:29:06 +0000 2014,"@El__Yayo noooo, camitaaaaa",,
@whomaktub,Tue Apr 15 05:29:09 +0000 2014,"sUFR DE UN RETRASO, PERDN CHIKISSSSSS",,
@Daurmith,Tue Apr 15 05:30:16 +0000 2014,@A2metal eso &gt;&lt; @El__Yayo,,
@inmita10296,Tue Apr 15 05:34:37 +0000 2014,Dejo de ser persona en 3 2 1 .... BN,38.0550148,-1.2056465
@SILVIA__FERRER,Tue Apr 15 05:35:10 +0000 2014,Buenos das. Estas semanas cortas son lo ms. Lo ms de trabajo acumulado en menos tiempo. A un paso de convertirme en #superwoman,37.91390524,-1.2498850000000001
@inesmunoz8,Tue Apr 15 05:36:00 +0000 2014,Me encantan las noches de insomnio. Como no tengo que hacer nada por la maana *irona* .,,
@inesmunoz8,Tue Apr 15 05:37:55 +0000 2014,"@SkaraOliver Aww, and there you are again proving me those people are so wrong ^_^. I love you too, Skara, and don't let them hurt you again",,
@mpg15,Tue Apr 15 05:38:40 +0000 2014,"Hoy me cojo el autobus y me voy a Mojcar hasta el domingo y que os follen a todos, veras jajaja",38.0513201,-1.2170376
@Gissell_Tytta,Tue Apr 15 05:49:08 +0000 2014,"Caballito de palo, solo falta que saquen la msica del cocodrilo ..",,
@aboudidido,Tue Apr 15 05:51:53 +0000 2014,@Betaqadaawia    ..  *      !           ,,
@LauritaLizan,Tue Apr 15 05:57:29 +0000 2014,Buenos das,37.95649211,-1.16431195
@Gissell_Tytta,Tue Apr 15 05:59:46 +0000 2014,Ya nada ..,,
@_jorgemoreno,Tue Apr 15 06:00:02 +0000 2014,"23,9999999999999.",37.9937398,-1.1289941000000001
@33_ignacio,Tue Apr 15 06:00:36 +0000 2014,Mis tigres del da. http://t.co/YMoBNoTQuw,37.9813203,-1.1301905
@33_ignacio,Tue Apr 15 06:02:06 +0000 2014,Tailandia. http://t.co/QBSey2l6af,37.9813203,-1.1301905
@Gissell_Tytta,Tue Apr 15 06:02:14 +0000 2014,Y mi novio ?,,
@selene20_,Tue Apr 15 06:03:29 +0000 2014,Buenos diaaaas! Sper cansada pero empezamos la maana con energa #nosvamosalgym,37.95470032,-1.15796357
@LauritaLizan,Tue Apr 15 06:04:16 +0000 2014,Vamos a vestirnos que nos vamos a desayunar fuera con los papis,37.956380200000005,-1.16426957
@33_ignacio,Tue Apr 15 06:04:18 +0000 2014,Explosin de rosas. http://t.co/uO0Tb7zTeO,37.9813203,-1.1301905
@33_ignacio,Tue Apr 15 06:05:51 +0000 2014,Guapsima. http://t.co/QJeu4xwIIJ,37.9813141,-1.1302063
@LauritaLizan,Tue Apr 15 06:06:20 +0000 2014,No he dormido una mierda con el temita de tener que estar curandome el tatto..,37.95633774,-1.16430159
@CarolinaCarol91,Tue Apr 15 06:06:33 +0000 2014,"Nadie desaparece del todo, si antes ha sabido imprimir buenas huellas en el recuerdo. En donde ests.  http://t.co/XgqLdRZUvR",38.0663653,-1.2460008
@Gissell_Tytta,Tue Apr 15 06:06:38 +0000 2014,Mi pregunta es Y la luna?,,
@33_ignacio,Tue Apr 15 06:07:15 +0000 2014,Guapo! http://t.co/fxmNMkYS0B,37.9813141,-1.1302063
@tobiasftzayn,Tue Apr 15 06:07:42 +0000 2014,@intojames suerte bae,37.97795,-1.2001561
@Gissell_Tytta,Tue Apr 15 06:08:56 +0000 2014,Apocalipsis 3:12,,
@AnaGomiss,Tue Apr 15 06:09:19 +0000 2014,Cebollaso compare,37.98946668,-1.14244349
@felicidadcafe,Tue Apr 15 06:09:43 +0000 2014,@jorsangez Bienvenido a Felicidad Caf!!,,
@Vikopan_2000lol,Tue Apr 15 06:10:27 +0000 2014,Buenos das :D http://t.co/VNK9t1aVjc,38.056309999999996,-1.21743
@InmaMB96,Tue Apr 15 06:10:32 +0000 2014,Buenos dias!A tomar algo rpido y nos vamos a las prcticas :),38.0375591,-1.0819776
@deliact,Tue Apr 15 06:10:47 +0000 2014,Como cuests empezar a trabajar!!! :$,38.006446399999994,-1.1455803
@felicidadcafe,Tue Apr 15 06:11:53 +0000 2014,Una seora de 78 aos se monta por 1 vez en una montaa rusa.. Podemos envejecer por fuera pero nunca por dentro!  http://t.co/62pLsZh3wU,,
@felicidadcafe,Tue Apr 15 06:12:18 +0000 2014,@jorsangez Perfecto Jorge!!,,
@SergiArtes19,Tue Apr 15 06:13:08 +0000 2014,"Lo que no he madrugado durante el curso, lo estoy haciendo ahora. #Muero",37.9957316,-1.1431598
